displayName;name;shortDescription
Amp;amphp;Amp is a non-blocking concurrency library for PHP.
Dependency management;dependency-management;Secure and manage your third-party dependencies.
Emulator;emulator;An emulator is any hardware or software that allows one computer to behave like another.
Jekyll;jekyll;Jekyll is a simple, blog-aware static site generator.
The Julia Language;julia;Julia is a high-level, high-performance dynamic programming language for numerical computing.
Monitoring;monitoring;Monitor the impact of your code changes. Measure performance, track errors, and analyze your application.
MvvmCross;mvvmcross;The .NET MVVM framework for cross-platform solutions, including Xamarin.iOS, Xamarin.Android, Windows, and Mac.
NativeScript;nativescript;NativeScript is a JavaScript-native mobile framework.
Parsing;parsing;Parsing is the process of analyzing a string of symbols conforming to the rules of a formal grammar.
Perl;perl;Perl is a highly capable and feature-rich programming language.
Objective-C;objective-c;Objective-C is general purpose, object-oriented programming language used for macOS and iOS operating systems.
PICO-8;pico-8;PICO-8 is a fantasy console for making, sharing and playing tiny games and other computer programs in Lua.
Qt;qt;Qt, pronounced "cute", is a cross-platform application development framework.
ASP.NET;aspnet;ASP.NET is a web framework for building modern web apps and services.
Koa;koa;Koa is an expressive middleware framework for Node.js servers that uses ES2017 async functions.
Compiler;compiler;Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).
Crystal;crystal;Crystal is a self-hosted, general purpose programming language.
Ember;ember;Ember is a framework for creating web applications.
Emacs;emacs;Emacs is an extensible, customizable, free text editor and computing environment.
Framework;framework;A framework is a reusable set of libraries or classes in software.
Babel;babel;Babel is a compiler for writing next generation JavaScript, today.
Haskell;haskell;Haskell is a functional programming language with non-strict semantics, and strong static typing.
Homebrew;homebrew;Homebrew is a package manager for macOS.
SpaceVim;spacevim;SpaceVim is a community-driven distribution of the vim editor that allows managing your plugins in layers.
Rails;rails;Ruby on Rails (Rails) is a web application framework written in Ruby.
Bitcoin;bitcoin;Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.
Phaser;phaser;Phaser is a fun, free, and fast 2D game framework for making HTML5 games for desktop and mobile web browsers.
ESLint;eslint;The pluggable linting utility for JavaScript and JSX.
Ajax;ajax;Ajax is a technique for creating interactive web applications.
Sketch;sketch;Sketch is a vector graphics editor for Apple's macOS, used primarily for user interface and icon design.
Gradle;gradle;Gradle is an open-source build tool that helps teams build, automate and deliver better software, faster.
Ratchet;ratchet;Ratchet is a set of libraries to handle WebSockets asynchronously in PHP.
Monero;monero;Monero is a private, fungible, open source, decentralized cryptocurrency.
Ruby;ruby;Ruby is a scripting language designed for simplified object-oriented programming.
Scala;scala;Scala is an object-oriented programming language.
Nim;nim;Nim is a statically typed, compiled, garbage-collected systems programming language.
3D;3d;3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.
Command line interface;cli;A CLI, or command-line interface, is a console that helps users issue commands to a program.
MATLAB;matlab;MATLAB is a programming platform for numerical computation and visualization.
OpenGL;opengl;OpenGL is a software interface that allows a programmer to communicate with graphics hardware.
Operating system;operating-system;An operating system is a program that manages a computer's programs and applications.
Material Design;material-design;Material Design is a unified system of theory and tools for creating digital experiences developed by Google.
Symfony;symfony;Symfony is a set of reusable PHP components and a web framework.
Data structures;data-structures;Data structures are a way of organizing and storing data.
Clojure;clojure;Clojure is a dynamic, general-purpose programming language.
scikit-learn;scikit-learn;scikit-learn is a Python module for machine learning.
macOS;macos;macOS is Apple's operating system.
Icon font;icon-font;Icon fonts contain glyphs and symbols in place of textual letters.
Localization (l10n);localization;Translation of a software interface and messages to another language plus to work with local cultures.
jQuery;jquery;jQuery is a lightweight library that simplifies programming with JavaScript.
ReactiveUI;reactiveui;ReactiveUI is a composable, cross-platform model-view-viewmodel framework for all .NET platforms.
Software-defined networking;sdn;Software-defined networking (SDN) is an architecture for programmable, centrally managed networks.
Vim;vim;Vim is a console-run text editor program.
Android;android;Android is an operating system built by Google designed for mobile devices.
Minecraft;minecraft;Minecraft is a sandbox video game.
Emoji;emoji;Emojis are graphic symbols that represent an emotion, object, or concept.
Django;django;Django is a web application framework for Python.
Homebridge;homebridge;Homebridge is a utility for tying smart home devices together into Apple’s HomeKit framework, controlled by Siri.
Font;font;A font is a particular style of typeface for text.
Gulp;gulp;Gulp is a toolkit for automating and streamlining web development.
JSON;json;JSON (JavaScript Object Notation) allows for easy interchange of data, often between a program and a database.
HTTP;http;HTTP (Hypertext Transfer Protocol) is the standard for communication across the web.
LaTeX;latex;LaTeX is a document preparation system.
Jupyter Notebook;jupyter-notebook;Jupyter Notebooks are documents that contain live code, visualizations, and narrative text.
Kubernetes;kubernetes;Kubernetes is an open source system for automating deployment, scaling, and management of containerized applications.
Mastodon;mastodon;Mastodon is a free, decentralized, open source microblogging network.
Documentation;documentation;Documentation is a set of information that describes a product to its users.
Natural language processing;nlp;Natural language processing (NLP) is the study of how computers and humans interact.
P2P;p2p;Peer-to-Peer applications are decentralized or distributed.
MySQL;mysql;MySQL is an open source relational database management system.
Package manager;package-manager;A package manager is a set of tools that automates and manages computer software.
npm;npm;npm is a package manager for JavaScript included with Node.js.
Pixel Art;pixel-art;Pixel art is a form of digital art where images are created and edited at the pixel level.
R;r;R is a free programming language and software environment for statistical computing and graphics.
PWA;pwa;Progressive Web Apps are traditional web sites that are enhanced with native like features.
Project management;project-management;Project management is about building scope and executing on the project's goals.
.NET;dotnet;.NET is a free, cross-platform, open source developer platform.
Publishing;publishing;Publishing is the dissemination of making information available to the general public through various mediums.
Raspberry Pi;raspberry-pi;The Raspberry Pi is a popular single-board computer.
Maven;maven;Maven is a build automation tool used primarily for Java projects.
